Date,Open,High,Low,Close,Volume,FX,FX_ch%_1d,FX_ch%_2d,FX_ch%_5d, VIX ,VIX_ch_1d,VIX_ch_5d,TIIE,TIIE_ch_1d,TIIE_ch_5d,TIIE_ch_20d
11/12/13,42490.78125,42643.32813,42262.53125,42304.55078,297986400,13.02039,0.013315122,0.014247333,-0.001663844,0.1542,0.0151,0.0072,0.037825,-3.40E-05,-3.70E-05,-6.00E-05
13/12/13,42307.30078,42307.30078,41715.67188,41884.82813,265220700,12.87289,-0.006752106,-0.011328386,-0.003899936,0.1576,0.0022,0.0197,0.0379,7.50E-05,2.30E-05,7.40E-05
16/12/13,41884.83984,42380.03125,41801.98828,42054.01953,202822100,12.9264,0.004156798,-0.002623376,0.006925809,0.1603,0.0027,0.0254,0.037915,1.50E-05,2.70E-05,0.000102
17/12/13,42044.71875,42245.21875,41757.91016,41758.55078,213530800,12.94826,0.001691113,0.00585494,0.007701587,0.1621,0.0018,0.023,0.037932,1.70E-05,1.30E-05,0.000157
18/12/13,41758.55859,42407.17188,41409.25,42079.87109,343004400,12.9011,-0.003642188,-0.001957235,-0.009161784,0.138,-0.0241,-0.0162,0.037916,-1.60E-05,5.70E-05,-5.90E-05
19/12/13,42079.46094,42250.60156,41789.69141,42198.32031,213707300,12.9453,0.003426064,-0.000228602,-0.001165087,0.1415,0.0035,-0.0139,0.037954,3.80E-05,0.000129,1.70E-05
20/12/13,42198.32031,42600.57813,42181.98828,42183.76953,593966800,12.9698,0.001892579,0.005325127,0.007528224,0.1379,-0.0036,-0.0197,0.037875,-7.90E-05,-2.50E-05,-4.50E-05
23/12/13,42214.83984,42508.10938,42119.03125,42508.03125,235435100,12.98135,0.00089053,0.002784794,0.00425099,0.1304,-0.0075,-0.0299,0.037855,-2.00E-05,-6.00E-05,-5.60E-05
26/12/13,42589.76172,42668.89063,42482.42969,42540.32031,139436700,13.06554,0.00394955,0.003874727,0.009288313,0.1233,-0.0015,-0.0182,0.037941,8.60E-05,9.00E-06,-0.000124
27/12/13,42545.51953,42789.32031,42523.71094,42753.21875,154856000,13.05,-0.001189388,0.002755464,0.006183596,0.1246,0.0013,-0.0133,0.037925,-1.60E-05,9.00E-06,-5.70E-05
30/12/13,42753.48047,43086.73828,42704.82813,42958.82031,175830000,13.06239,0.000949425,-0.000241092,0.006242802,0.1356,0.011,0.0052,0.037962,3.70E-05,8.00E-06,-5.60E-05
02/01/14,42725.53125,42841.96094,42115.35938,42188.44922,139707400,13.14846,0.009324487,0.009299694,0.006346466,0.1423,0.0051,0.019,0.03795,-1.20E-05,7.50E-05,-5.90E-05
03/01/14,42191.10938,42274.60938,41842.96094,42064.96875,141022700,13.0939,-0.004149535,0.005136259,0.003363985,0.1376,-0.0047,0.013,0.03795,0,9.50E-05,-7.00E-05
06/01/14,42093.55859,42143.16016,41522.48828,41525.94922,157899200,13.06917,-0.001888666,-0.006030364,0.000519047,0.1355,-0.0021,-0.0001,0.037925,-2.50E-05,-1.60E-05,-3.50E-05
07/01/14,41532.87891,41883.37109,41522.17188,41778.60156,174828600,13.0079,-0.004688132,-0.006567944,-0.001489947,0.1292,-0.0063,-0.008,0.037962,3.70E-05,3.70E-05,6.20E-05
08/01/14,41783.80078,41915.35938,41389.39844,41515.48828,208777500,13.1247,0.008979159,0.004248931,0.007500581,0.1287,-0.0005,-0.0085,0.037994,3.20E-05,3.20E-05,0.000132
09/01/14,41554.32813,41585.62109,41220.66016,41585.53906,225768400,13.08479,-0.003040831,0.005911023,-0.004842392,0.1289,0.0002,-0.0134,0.038005,1.10E-05,5.50E-05,0.000128
10/01/14,41586.85156,42526.12891,41585.55078,42458.51172,274141700,12.9593,-0.009590525,-0.012602193,-0.010279596,0.1214,-0.0075,-0.0162,0.037927,-7.80E-05,-2.30E-05,3.90E-05
13/01/14,42455.96875,42463.42188,42046.23828,42158.62109,202066300,13.07117,0.008632411,-0.001040903,0.000153032,0.1328,0.0114,-0.0027,0.037945,1.80E-05,2.00E-05,2.60E-05
14/01/14,42151.46875,42501,42055.87891,42439.78906,171344100,13.07728,0.000467441,0.009103887,0.005333682,0.1228,-0.01,-0.0064,0.037972,2.70E-05,1.00E-05,0.000113
15/01/14,42434.87109,42731.76172,42359.64844,42511.25,157753900,13.1957,0.0090554,0.009527074,0.005409647,0.1228, -   ,-0.0059,0.037933,-3.90E-05,-6.10E-05,0.000108
16/01/14,42508.96875,42608.82031,42167.76953,42172.73047,154928100,13.2722,0.005797343,0.01490524,0.014322737,0.1253,0.0025,-0.0036,0.037843,-9.00E-05,-0.000162,-5.70E-05
17/01/14,42172.85938,42246.01953,41721.03906,41911.30859,141246000,13.23344,-0.00292039,0.002860023,0.02115392,0.1244,-0.0009,0.003,0.037825,-1.80E-05,-0.000102,-9.00E-05
20/01/14,41911.30859,42111.78125,41909.10938,41976.37109,37915600,13.22845,-0.000377075,-0.003296364,0.012032588,0.1244, -   ,-0.0084,0.037665,-0.00016,-0.00028,-0.000267
21/01/14,41976.62891,42277.10156,41602.28125,41838.62891,194541100,13.2736,0.003413098,0.003034736,0.015012296,0.1287,0.0043,0.0059,0.037615,-5.00E-05,-0.000357,-0.000301
22/01/14,41849.01953,42062.82031,41699.71875,42062.82031,254645000,13.2986,0.001883438,0.005302964,0.007797995,0.1284,-0.0003,0.0056,0.03767,5.50E-05,-0.000263,-0.000284
23/01/14,42058.17188,42082.75,41402.37891,41531.80078,165958700,13.3935,0.00713609,0.009032968,0.009139404,0.1377,0.0093,0.0124,0.037771,0.000101,-7.20E-05,-0.000104
24/01/14,41532.78125,41556.17188,40814.51172,40979.80078,333731700,13.44845,0.004102736,0.011268103,0.016247476,0.1814,0.0437,0.057,0.037645,-0.000126,-0.00018,-0.00021
27/01/14,40980.33984,41010.55859,40316.66016,40863.41016,232123000,13.3732,-0.00559544,-0.001515661,0.010942325,0.1742,-0.0072,0.0498,0.03765,5.00E-06,-1.50E-05,-0.000291
28/01/14,40873.53125,41217.62109,40660.48828,40660.92969,230936300,13.1772,-0.014656178,-0.020169611,-0.007262536,0.158,-0.0162,0.0293,0.03765,0,3.50E-05,-0.000275
29/01/14,40656.28125,40978.44922,40228.28906,40689.89844,230428900,13.39445,0.016486811,0.001588999,0.007207526,0.1735,0.0155,0.0451,0.03765,0,-2.00E-05,-0.000312
30/01/14,40692.92969,41096.78906,40572.23047,41008.30078,172219800,13.3545,-0.002982579,0.013455059,-0.00291186,0.1729,-0.0006,0.0352,0.037726,7.60E-05,-4.50E-05,-0.000224
